epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.2507922649383545,0.48386964201927185,0.16849657893180847,0.7289597988128662,0.7379442453384399,0.4950657784938812,0.5525663495063782,0.1294998824596405,0.4950657784938812,1.0
1,0.25616195797920227,0.49107617139816284,0.14700913429260254,0.7344508171081543,0.7968413233757019,0.4950657784938812,0.5629836320877075,0.12246528267860413,0.4950657784938812,1.0
2,0.2616197168827057,0.5087066888809204,0.1347147673368454,0.7391955256462097,0.8275449275970459,0.4950657784938812,0.5654289722442627,0.11419562250375748,0.4950657784938812,1.0
3,0.25387322902679443,0.5061700940132141,0.12607067823410034,0.7380609512329102,0.8549118041992188,0.4950657784938812,0.558914303779602,0.107880137860775,0.4950657784938812,1.0
4,0.25994718074798584,0.5003178119659424,0.11812625080347061,0.7362903356552124,0.8739978671073914,0.4950657784938812,0.5579147338867188,0.10318293422460556,0.4950657784938812,1.0
5,0.2549295723438263,0.49959027767181396,0.11227462440729141,0.739825427532196,0.8978814482688904,0.4950657784938812,0.5651942491531372,0.09841474145650864,0.4950657784938812,1.0
6,0.25580987334251404,0.5081015229225159,0.10756034404039383,0.742134153842926,0.9176680445671082,0.4950657784938812,0.5551812052726746,0.09448502212762833,0.4950657784938812,1.0
7,0.25387322902679443,0.5094084143638611,0.10345730930566788,0.7400074601173401,0.9428843259811401,0.4950657784938812,0.557006299495697,0.09205255657434464,0.4950657784938812,1.0
8,0.2529929578304291,0.5055112242698669,0.10080254822969437,0.7418873310089111,0.9459041953086853,0.4950657784938812,0.5584662556648254,0.08939263969659805,0.4950657784938812,1.0
9,0.25264084339141846,0.5035184621810913,0.09842319786548615,0.7390546202659607,0.9595995545387268,0.4950657784938812,0.5527752637863159,0.08820458501577377,0.4950657784938812,1.0
20,0.2565140724182129,0.4940580725669861,0.12693914771080017,0.7396721839904785,0.9191281795501709,0.4950657784938812,0.4781446158885956,0.11668983101844788,0.4950617253780365,0.9991694092750549
21,0.2552816867828369,0.5001750588417053,0.12528939545154572,0.7378658652305603,0.9417521953582764,0.4950657784938812,0.521696150302887,0.11424708366394043,0.4950657784938812,1.0
22,0.25325703620910645,0.5043252110481262,0.12443970143795013,0.7343097925186157,0.9476013779640198,0.4950657784938812,0.515745222568512,0.11369046568870544,0.4950657784938812,1.0
23,0.25360915064811707,0.5143887400627136,0.12345558404922485,0.735965371131897,0.9555502533912659,0.4950657784938812,0.5290207266807556,0.11354758590459824,0.4950657784938812,1.0
24,0.2545774579048157,0.505955159664154,0.12300116568803787,0.7370055913925171,0.9642643928527832,0.4950657784938812,0.5206727981567383,0.11326330900192261,0.4950657784938812,1.0
25,0.25580987334251404,0.4871368110179901,0.1224806159734726,0.7364165186882019,0.9686865210533142,0.4950657784938812,0.5169007778167725,0.11283483356237411,0.4950657784938812,1.0
26,0.25695422291755676,0.4942494034767151,0.12199260294437408,0.7358832359313965,0.9715209007263184,0.4950657784938812,0.5130563974380493,0.11277136206626892,0.4950657784938812,1.0
27,0.2558978796005249,0.5010578632354736,0.12173488736152649,0.7361249923706055,0.9696099758148193,0.4950657784938812,0.5121132731437683,0.11231774091720581,0.4950657784938812,1.0
28,0.2552816867828369,0.5076395869255066,0.12126863747835159,0.7364186644554138,0.973939061164856,0.4950657784938812,0.516662061214447,0.11204981803894043,0.4950657784938812,1.0
29,0.25008803606033325,0.5051581263542175,0.1210322305560112,0.7398989796638489,0.9748098850250244,0.4950657784938812,0.5197840929031372,0.11189474910497665,0.4950657784938812,1.0
30,0.25202465057373047,0.5030277371406555,0.12097767740488052,0.7396619915962219,0.9796404242515564,0.4950657784938812,0.5180056691169739,0.11176750808954239,0.4950657784938812,1.0
