epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5022425651550293,0.5020132660865784,0.8285001516342163,0.4980148375034332,0.5117970705032349,0.49177631735801697,0.46802833676338196,0.7582587003707886,0.4689922332763672,0.20099668204784393
1,0.502330482006073,0.49940091371536255,0.7896775603294373,0.49802371859550476,0.49175092577934265,0.48601973056793213,0.4551302194595337,0.756982147693634,0.4072580635547638,0.08388704061508179
2,0.49978014826774597,0.5026611685752869,0.7765742540359497,0.4953661561012268,0.48359057307243347,0.5032894611358643,0.48470792174339294,0.7511047124862671,0.4964912235736847,0.23504982888698578
3,0.4977574646472931,0.500163197517395,0.767132580280304,0.49343040585517883,0.49299272894859314,0.49917763471603394,0.4880281686782837,0.7485491037368774,0.37931033968925476,0.01827242597937584
4,0.49591064453125,0.49295350909233093,0.7595131397247314,0.49093684554100037,0.4564484655857086,0.5213815569877625,0.5494743585586548,0.7437624335289001,0.5105041861534119,0.8073089718818665
5,0.5034737586975098,0.5030587315559387,0.7545703053474426,0.4991863965988159,0.48979952931404114,0.5094572305679321,0.5277122855186462,0.7403531074523926,0.5228216052055359,0.10465116053819656
6,0.4951191544532776,0.4967285692691803,0.7489590048789978,0.49015524983406067,0.4592868685722351,0.5094572305679321,0.5166224241256714,0.7371615171432495,0.553398072719574,0.04734219238162041
7,0.510948896408081,0.5128359198570251,0.7442041635513306,0.5069750547409058,0.4899769425392151,0.5061677694320679,0.5209592580795288,0.7346094250679016,0.5151515007019043,0.04235880449414253
8,0.49714183807373047,0.4997008442878723,0.7404638528823853,0.49243131279945374,0.4674472212791443,0.5111019611358643,0.5265287160873413,0.7321141362190247,0.5728155374526978,0.049003321677446365
9,0.4988127648830414,0.4976426661014557,0.7370635271072388,0.49392634630203247,0.4472236931324005,0.5139802694320679,0.5418948531150818,0.7299773693084717,0.5450819730758667,0.11046511679887772
10,0.5032099485397339,0.5056318640708923,0.7347381711006165,0.49887850880622864,0.4734787940979004,0.5123355388641357,0.5217996835708618,0.7283821702003479,0.5100222826004028,0.3803986608982086
