epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
25,0.7216603755950928,0.8573647737503052,9.999999747378752e-06,0.0569731704890728,0.6522917747497559,0.9391520023345947,0.7594572305679321,0.9175494313240051,0.048468202352523804,0.6804664731025696,0.9692690968513489
26,0.7264093160629272,0.8629884719848633,9.999999747378752e-06,0.05619834363460541,0.6576385498046875,0.934717059135437,0.7635690569877625,0.9220665097236633,0.04737392067909241,0.684674084186554,0.9684385657310486
27,0.7395128011703491,0.8734077215194702,9.999999747378752e-06,0.054648932069540024,0.6682178378105164,0.9425226449966431,0.7771381735801697,0.9257040023803711,0.046358197927474976,0.6982035636901855,0.9684385657310486
28,0.7464603185653687,0.8757056593894958,9.999999747378752e-06,0.05427557975053787,0.6754140257835388,0.9405712485313416,0.7808387875556946,0.9306687712669373,0.04542102292180061,0.7010185718536377,0.9717608094215393
29,0.7518247961997986,0.8814308643341064,9.999999747378752e-06,0.05327797308564186,0.6802869439125061,0.9421678185462952,0.7935855388641357,0.9341672658920288,0.04427322745323181,0.7137637138366699,0.9734219312667847
30,0.7537595629692078,0.8841421604156494,9.999999747378752e-06,0.05286674201488495,0.6818356513977051,0.9435870051383972,0.7874177694320679,0.9351053833961487,0.0441129095852375,0.7075528502464294,0.9725913405418396
31,0.7599155902862549,0.8912900686264038,9.999999747378752e-06,0.05154039338231087,0.6878635287284851,0.9441192150115967,0.8087993264198303,0.936486542224884,0.04324401542544365,0.7331230044364929,0.9651162624359131
32,0.7693254947662354,0.8990363478660583,9.999999747378752e-06,0.05008481815457344,0.6970965266227722,0.9455384016036987,0.8120887875556946,0.9402977824211121,0.042312141507864,0.7347580194473267,0.9709302186965942
33,0.7743382453918457,0.9015815258026123,9.999999747378752e-06,0.04951782152056694,0.7024924159049988,0.9450061917304993,0.7964637875556946,0.9424374103546143,0.04225040599703789,0.7149787545204163,0.9792358875274658
34,0.7737226486206055,0.900457501411438,9.999999747378752e-06,0.04982638359069824,0.7024847865104675,0.9428774118423462,0.8178454041481018,0.9437741637229919,0.04102340340614319,0.7422024011611938,0.9684385657310486
35,0.7826927900314331,0.9055317640304565,9.999999747378752e-06,0.04869992658495903,0.7105613350868225,0.9476671814918518,0.8133223652839661,0.9442717432975769,0.04081657901406288,0.7346683144569397,0.97508305311203
36,0.7842757701873779,0.9079500436782837,9.999999747378752e-06,0.048144929111003876,0.7121534943580627,0.9480220079421997,0.8194901347160339,0.9467093348503113,0.04001884534955025,0.7428571581840515,0.9717608094215393
37,0.7827807664871216,0.9096847772598267,9.999999747378752e-06,0.047892726957798004,0.7120096683502197,0.9434096217155457,0.8248355388641357,0.9484457969665527,0.03952360525727272,0.7477707266807556,0.97508305311203
38,0.7950048446655273,0.9140036702156067,9.999999747378752e-06,0.04686710238456726,0.7242876291275024,0.9469575881958008,0.8338815569877625,0.9510616064071655,0.03866845741868019,0.7594033479690552,0.9725913405418396
39,0.7994899153709412,0.9190799593925476,9.999999747378752e-06,0.04596223682165146,0.7281500697135925,0.9503281712532043,0.8433387875556946,0.9516869187355042,0.038238514214754105,0.7716171741485596,0.9709302186965942
40,0.793949544429779,0.9159734845161438,9.999999747378752e-06,0.0464356504380703,0.7243869304656982,0.9432322382926941,0.8120887875556946,0.9526851773262024,0.0389891117811203,0.7304133176803589,0.9833887219429016
41,0.8043267726898193,0.9252055883407593,9.999999747378752e-06,0.044578421860933304,0.7339550256729126,0.9494411945343018,0.8166118264198303,0.9544203281402588,0.03847818449139595,0.7348203063011169,0.985049843788147
