epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5043169856071472,0.5095587968826294,1.1247196197509766,0.5041748285293579,0.4859171509742737,0.5534999966621399,0.5705915093421936,0.9539009928703308,0.5553257465362549,0.5370000004768372
1,0.5295091867446899,0.5502654910087585,1.054466962814331,0.5297375321388245,0.5207100510597229,0.5929999947547913,0.6379439234733582,0.9064030051231384,0.5954825282096863,0.5799999833106995
2,0.5733885169029236,0.5998942255973816,0.9979196190834045,0.5728430151939392,0.5751479268074036,0.5985000133514404,0.6612009406089783,0.8967130780220032,0.6029258370399475,0.5770000219345093
3,0.5642814636230469,0.6026611924171448,0.3576965034008026,0.5451812148094177,0.7725443840026855,0.5914999842643738,0.6363955736160278,0.3129934072494507,0.5642105340957642,0.8040000200271606
4,0.5573033690452576,0.5933176875114441,0.3323327600955963,0.5383635759353638,0.8004733920097351,0.578499972820282,0.6337354183197021,0.3040488064289093,0.5636658668518066,0.6949999928474426
5,0.5587226748466492,0.5991882681846619,0.31148412823677063,0.5389713048934937,0.8085207343101501,0.6110000014305115,0.6398385167121887,0.29828405380249023,0.6149068474769592,0.593999981880188
6,0.5595505833625793,0.6155071258544922,0.2878836393356323,0.5384261608123779,0.8307692408561707,0.5809999704360962,0.667822003364563,0.2630139887332916,0.5548037886619568,0.8199999928474426
7,0.5706682205200195,0.6335757374763489,0.2668174207210541,0.5452746748924255,0.8480473160743713,0.5759999752044678,0.6763750314712524,0.24488747119903564,0.5460048317909241,0.9020000100135803
8,0.5680662393569946,0.645555853843689,0.2476130872964859,0.5426275730133057,0.8631952404975891,0.5845000147819519,0.6759060025215149,0.23138441145420074,0.5523219704627991,0.8920000195503235
9,0.5878178477287292,0.6697397828102112,0.22904910147190094,0.5551580190658569,0.8814201354980469,0.6025000214576721,0.6970760226249695,0.21787817776203156,0.5719298124313354,0.8149999976158142
10,0.5914843082427979,0.6796236634254456,0.21332460641860962,0.5572893619537354,0.8875739574432373,0.6085000038146973,0.7339929938316345,0.20039404928684235,0.5710543394088745,0.871999979019165
11,0.6026020050048828,0.705564558506012,0.19751757383346558,0.5636684894561768,0.9062721729278564,0.5995000004768372,0.701213538646698,0.1917448490858078,0.5656765699386597,0.8569999933242798
12,0.6094618439674377,0.7139194011688232,0.18461208045482635,0.5682187676429749,0.9098224639892578,0.6065000295639038,0.7149980068206787,0.18032045662403107,0.5725971460342407,0.8399999737739563
13,0.6088705062866211,0.7269275188446045,0.17305141687393188,0.5678191781044006,0.9095857739448547,0.5989999771118164,0.7102665305137634,0.1734175980091095,0.5668919086456299,0.8389999866485596
14,0.6170313358306885,0.7386243939399719,0.16233009099960327,0.5725842118263245,0.9214200973510742,0.6209999918937683,0.7068055272102356,0.16642679274082184,0.5859375,0.824999988079071
15,0.6236546635627747,0.7490721344947815,0.15384197235107422,0.5771335363388062,0.9235503077507019,0.6169999837875366,0.7188169360160828,0.1573517769575119,0.5810249447822571,0.8389999866485596
16,0.626848042011261,0.757426381111145,0.1465863734483719,0.5793533325195312,0.9244970679283142,0.6085000038146973,0.7383419275283813,0.14876945316791534,0.5725752711296082,0.8560000061988831
17,0.6340627074241638,0.7736323475837708,0.13968893885612488,0.5840392112731934,0.9301775097846985,0.6244999766349792,0.7286769151687622,0.14694498479366302,0.5913426280021667,0.8059999942779541
18,0.6404494643211365,0.771173894405365,0.1355189085006714,0.5882353186607361,0.9349112510681152,0.6104999780654907,0.730118989944458,0.14275512099266052,0.5734219551086426,0.8629999756813049
19,0.6415138840675354,0.777792751789093,0.13140229880809784,0.5889981985092163,0.9351479411125183,0.6159999966621399,0.7346705198287964,0.13862743973731995,0.5803323984146118,0.8379999995231628
20,0.6520401835441589,0.7938957214355469,0.12718209624290466,0.5968301892280579,0.9358580112457275,0.6225000023841858,0.7348964810371399,0.1381731778383255,0.5873128771781921,0.8240000009536743
21,0.6538143157958984,0.7969539165496826,0.12452338635921478,0.5972139239311218,0.9436686635017395,0.6284999847412109,0.7375499606132507,0.13733123242855072,0.5927797555923462,0.8209999799728394
22,0.6626847982406616,0.8032771348953247,0.12264697998762131,0.6040624380111694,0.9431952834129333,0.6284999847412109,0.7368799448013306,0.13575004041194916,0.5910701751708984,0.8339999914169312
23,0.6606741547584534,0.804026186466217,0.12151198089122772,0.6031022071838379,0.9386982321739197,0.6365000009536743,0.7372980117797852,0.13595163822174072,0.5992727279663086,0.8240000009536743
24,0.6602010726928711,0.8062700629234314,0.12022377550601959,0.6021456718444824,0.9431952834129333,0.6380000114440918,0.735503077507019,0.1364799290895462,0.6007299423217773,0.8230000138282776
25,0.6848018765449524,0.835330605506897,0.11784962564706802,0.6216089725494385,0.9436686635017395,0.6340000033378601,0.7432169914245605,0.13752830028533936,0.5962643623352051,0.8299999833106995
26,0.6894145607948303,0.8393722772598267,0.1161460429430008,0.6254904866218567,0.9431952834129333,0.6520000100135803,0.7449365258216858,0.14088696241378784,0.6202531456947327,0.7839999794960022
27,0.696984052658081,0.8417606949806213,0.11515773832798004,0.6315040588378906,0.9450887441635132,0.6460000276565552,0.7533875107765198,0.13764482736587524,0.607988178730011,0.8220000267028809
28,0.6921348571777344,0.8414685726165771,0.11424543708562851,0.627395510673523,0.9453254342079163,0.6575000286102295,0.7556254863739014,0.1374201774597168,0.6167531609535217,0.8320000171661377
29,0.698521614074707,0.8484586477279663,0.11304692178964615,0.6317610144615173,0.9510059356689453,0.6654999852180481,0.756171464920044,0.14054976403713226,0.6291959285736084,0.8059999942779541
30,0.7011235952377319,0.8526431918144226,0.11202645301818848,0.6342504620552063,0.9493491053581238,0.6620000004768372,0.7549610137939453,0.14092743396759033,0.6283676624298096,0.7929999828338623
31,0.7095209956169128,0.8603424429893494,0.11094141006469727,0.6416786909103394,0.9481656551361084,0.6629999876022339,0.7579320073127747,0.1379343718290329,0.6242377758026123,0.8190000057220459
32,0.7058545351028442,0.852757453918457,0.11164598166942596,0.6392182111740112,0.944378674030304,0.6650000214576721,0.758916974067688,0.1372978240251541,0.6244344115257263,0.828000009059906
33,0.7140153646469116,0.8560275435447693,0.11128058284521103,0.6450939178466797,0.9507692456245422,0.6700000166893005,0.7631569504737854,0.13817548751831055,0.6303681135177612,0.8220000267028809
34,0.7143701910972595,0.8680650591850281,0.10936633497476578,0.6446611285209656,0.9545562267303467,0.6710000038146973,0.7700564861297607,0.1370539516210556,0.6309341788291931,0.8240000009536743
35,0.7161442637443542,0.86139315366745,0.10996472835540771,0.6475343704223633,0.9479289650917053,0.6759999990463257,0.7782904505729675,0.13385777175426483,0.6331316232681274,0.8370000123977661
36,0.7161442637443542,0.8684220910072327,0.10843311250209808,0.6479170322418213,0.9460355043411255,0.6784999966621399,0.7823315262794495,0.13454830646514893,0.6333084106445312,0.8479999899864197
37,0.7206386923789978,0.8742378354072571,0.10733967274427414,0.6504603624343872,0.9531360864639282,0.6800000071525574,0.7816140055656433,0.13713812828063965,0.640625,0.8199999928474426
38,0.7219396829605103,0.8731530904769897,0.10769174993038177,0.6513732075691223,0.9543195366859436,0.6855000257492065,0.780739426612854,0.13916780054569244,0.6489959955215454,0.8080000281333923
39,0.7301005125045776,0.8769323825836182,0.10673963278532028,0.6591318845748901,0.952426016330719,0.684499979019165,0.7819904685020447,0.13884346187114716,0.6474820375442505,0.8100000023841858
40,0.726434051990509,0.8746647834777832,0.10687042772769928,0.6558018326759338,0.952426016330719,0.684499979019165,0.7821350693702698,0.1387326717376709,0.6474820375442505,0.8100000023841858
41,0.7215848565101624,0.8731802105903625,0.10803151875734329,0.6512041091918945,0.9536094665527344,0.6809999942779541,0.7787915468215942,0.13557399809360504,0.6381679177284241,0.8360000252723694
42,0.7258427143096924,0.8746228218078613,0.10762055963277817,0.6551668047904968,0.9528993964195251,0.6784999966621399,0.7793999910354614,0.1364535391330719,0.6372021436691284,0.8289999961853027
43,0.7271437048912048,0.8722289800643921,0.10755869001150131,0.6564947962760925,0.9521893262863159,0.6779999732971191,0.7800624370574951,0.13712169229984283,0.6394984126091003,0.8159999847412109
